word_id,human_top_pos,model_top_pos,pos_match_at_1,pos_intersection_at_1,pos_intersection_at_2,pos_intersection_at_3,pos_intersection_at_4,pos_intersection_at_5
атмосфера,PRON,PUNCT,0,0.0,0.5,0.3333333333333333,0.5,0.4
атрибутику,NOUN,PUNCT,0,0.0,0.0,0.0,0.0,0.0
бампера,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
банке,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
бант,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.6
баранины,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.6
барса,VERB,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.2
бездетным,ADP,ADP,1,1.0,0.5,0.3333333333333333,0.25,0.4
бросить,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.5,0.6
вагоны,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
вить,VERB,VERB,1,1.0,1.0,1.0,0.75,0.6
вол,NOUN,NOUN,1,1.0,1.0,1.0,0.75,0.8
врач,NOUN,VERB,0,0.0,0.5,0.6666666666666666,0.75,0.6
всей,DET,PUNCT,0,0.0,0.5,0.6666666666666666,0.5,0.6
входить,AUX,VERB,0,0.0,0.5,0.6666666666666666,0.5,0.4
даст,ADP,PUNCT,0,0.0,0.0,0.3333333333333333,0.25,0.4
дом,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
едкой,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
есть,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.25,0.2
желает,VERB,PART,0,0.0,0.5,0.3333333333333333,0.5,0.6
жирность,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
жить,NOUN,ADP,0,0.0,1.0,0.6666666666666666,0.5,0.4
журчание,ADJ,INTJ,0,0.0,0.0,0.0,0.5,0.4
заварил,VERB,CCONJ,0,0.0,1.0,0.6666666666666666,0.75,0.8
заставить,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.25,0.2
заявление,NOUN,PUNCT,0,0.0,0.0,0.3333333333333333,0.75,0.6
злило,VERB,PART,0,0.0,0.0,0.6666666666666666,1.0,0.8
злые,VERB,PUNCT,0,0.0,0.0,0.3333333333333333,0.5,0.6
зоркий,DET,ADJ,0,0.0,0.5,0.3333333333333333,0.5,0.4
излишества,ADV,PART,0,0.0,0.0,0.3333333333333333,0.5,0.4
иной,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.6
испечь,VERB,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.4
количество,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
командиру,ADP,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.4
кораблей,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
который,PRON,CCONJ,0,0.0,1.0,0.6666666666666666,0.5,0.4
красоты,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.8
крен,NOUN,PRON,0,0.0,0.0,0.3333333333333333,0.25,0.2
крупу,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.4
крыши,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.6
купон,NOUN,PRON,0,0.0,1.0,0.6666666666666666,0.5,0.4
лед,NOUN,NUM,0,0.0,0.5,0.6666666666666666,0.75,0.8
лес,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
лестнице,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.4
летела,VERB,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.2
летом,ADP,ADP,1,1.0,0.5,0.3333333333333333,0.5,0.4
лис,NOUN,ADP,0,0.0,0.5,1.0,0.75,0.6
лом,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.4
лопоухая,PRON,ADP,0,0.0,0.0,0.0,0.0,0.4
мазь,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
микробы,NOUN,PUNCT,0,0.0,0.0,0.0,0.0,0.0
миссионеры,NOUN,PUNCT,0,0.0,0.0,0.0,0.25,0.2
