Unnamed: 0,word.id,Lemma,POS,mapped_POS,Form,Left context,answer,lemma_answer,upos_answer,feats_answer,mapped_feats_ud,feats_answer_split,features_accuracy,cloze_accuracy,lemma_accuracy,pos_accuracy,item.id,word.serial.no,subject.id,is_russian,probability_y
0,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,когда,когда,ADV,Degree=Pos,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}",{'Degree=Pos'},[],0,0,0,59,4,DKC573,TRUE,0.125
1,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,он,он,PRON,Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'PronType=Prs', 'Case=Nom', 'Gender=Masc', 'Person=3', 'Number=Sing'}","['Case=Nom', 'Number=Sing']",0,0,0,59,4,MQG816,TRUE,0.25
2,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,я,я,PRON,Case=Nom|Number=Sing|Person=1|PronType=Prs,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'Person=1', 'Case=Nom', 'Number=Sing', 'PronType=Prs'}","['Case=Nom', 'Number=Sing']",0,0,0,59,4,VTN703,TRUE,0.0625
3,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,он,он,PRON,Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'PronType=Prs', 'Case=Nom', 'Gender=Masc', 'Person=3', 'Number=Sing'}","['Case=Nom', 'Number=Sing']",0,0,0,59,4,DLV943,TRUE,0.25
4,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,появился,появиться,VERB,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'Tense=Past', 'Mood=Ind', 'Voice=Mid', 'VerbForm=Fin', 'Gender=Masc', 'Aspect=Perf', 'Number=Sing'}",['Number=Sing'],0,0,0,59,4,FYK814,TRUE,0.0625
5,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,он,он,PRON,Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'PronType=Prs', 'Case=Nom', 'Gender=Masc', 'Person=3', 'Number=Sing'}","['Case=Nom', 'Number=Sing']",0,0,0,59,4,ANZ673,TRUE,0.25
6,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,мне,я,PRON,Case=Dat|Number=Sing|Person=1|PronType=Prs,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'Person=1', 'Case=Dat', 'Number=Sing', 'PronType=Prs'}",['Number=Sing'],0,0,0,59,4,XQK929,TRUE,0.0625
7,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,она,она,PRON,Case=Nom|Gender=Fem|Number=Sing|Person=3|PronType=Prs,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'PronType=Prs', 'Case=Nom', 'Gender=Fem', 'Person=3', 'Number=Sing'}","['Case=Nom', 'Gender=Fem', 'Number=Sing']",0,0,0,59,4,POD904,TRUE,0.0625
8,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,никто,никто,PRON,Case=Nom|PronType=Neg,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'Case=Nom', 'PronType=Neg'}",['Case=Nom'],0,0,0,59,4,ZKR756,TRUE,0.0625
9,атмосфера,атмосфера,S,NOUN,"S,жен,неод=им,ед",В тот момент,это,это,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing|PronType=Dem,"{'NOUN', 'Animacy=Inan', 'Case=Nom', 'Gender=Fem', 'Number=Sing'}","{'Animacy=Inan', 'Case=Nom', 'Gender=Neut', 'PronType=Dem', 'Number=Sing'}","['Animacy=Inan', 'Case=Nom', 'Number=Sing']",0,0,0,59,4,FSR659,TRUE,0.0625
